[2026-01-09 12:50:15.413] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:50:15.414] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:50:22.206] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:50:22.207] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:50:29.401] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:50:29.402] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:50:34.885] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:50:34.886] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:50:42.200] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:50:42.201] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:50:48.605] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:50:48.606] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByHashtag | 0.001s | FAILED
[2026-01-09 12:50:58.397] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:50:58.398] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:51:06.781] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:51:06.781] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:51:13.267] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:51:13.268] [INFO    ] [PERFORMANCE] [Thread-140228380177024] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:51:21.970] [INFO    ] [PERFORMANCE] [Thread-140228380177024] DiscoverTargets | 105.106s | SUCCESS
[2026-01-09 12:51:21.971] [INFO    ] [PERFORMANCE] [Thread-140228380177024] DiscoverAndPrioritizeTargets | 136.895s | FAILED
[2026-01-09 12:51:51.893] [INFO    ] [PERFORMANCE] [Thread-139814862537344] InitializeTikTokAPI | 9.722s | SUCCESS
[2026-01-09 12:51:51.894] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:51:52.185] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.291s | FAILED
[2026-01-09 12:51:58.262] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:51:58.350] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.088s | FAILED
[2026-01-09 12:52:04.572] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:04.669] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.097s | FAILED
[2026-01-09 12:52:09.838] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:09.944] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.105s | FAILED
[2026-01-09 12:52:15.453] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:15.538] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.085s | FAILED
[2026-01-09 12:52:24.151] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:24.236] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.084s | FAILED
[2026-01-09 12:52:33.563] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:33.645] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.081s | FAILED
[2026-01-09 12:52:37.425] [INFO    ] [PERFORMANCE] [Thread-139689960469120] InitializeTikTokAPI | 18.487s | SUCCESS
[2026-01-09 12:52:37.426] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:37.537] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.110s | FAILED
[2026-01-09 12:52:42.017] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:42.117] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.100s | FAILED
[2026-01-09 12:52:43.042] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:43.139] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.097s | FAILED
[2026-01-09 12:52:48.399] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:48.496] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.097s | FAILED
[2026-01-09 12:52:49.530] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:49.631] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.100s | FAILED
[2026-01-09 12:52:56.371] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:56.474] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.102s | FAILED
[2026-01-09 12:52:56.835] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:52:57.014] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.178s | FAILED
[2026-01-09 12:53:01.582] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:01.661] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.079s | FAILED
[2026-01-09 12:53:05.852] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:05.941] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.089s | FAILED
[2026-01-09 12:53:06.843] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:06.974] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.131s | FAILED
[2026-01-09 12:53:11.131] [INFO    ] [PERFORMANCE] [Thread-140586017235584] InitializeTikTokAPI | 16.737s | SUCCESS
[2026-01-09 12:53:11.132] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:11.245] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.113s | FAILED
[2026-01-09 12:53:15.337] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:53:15.722] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.384s | SUCCESS
[2026-01-09 12:53:16.365] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:53:16.458] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.093s | FAILED
[2026-01-09 12:53:20.867] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:20.945] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.078s | FAILED
[2026-01-09 12:53:21.933] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:22.022] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.088s | FAILED
[2026-01-09 12:53:25.027] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:25.120] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.093s | FAILED
[2026-01-09 12:53:27.755] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:28.046] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.290s | FAILED
